webapp.ProfileDetail.confirmDelete|Etes-vous sûr de vouloir supprimer ce profil ?
webapp.ProfileDetail.aclAffectation|Affectation des droits
webapp.ProfileDetail.global|Général
webapp.ProfileDetail.MODIFY_SUCCESS|Profile modifié avec succés
webapp.ProfileDetail.DELETE_SUCCESS|Profile supprimé avec succés
webapp.ProfileDetail.ADD_SUCCESS|Profile ajouté avec succés
webapp.ProfileDetail.API_ADMIN_MANAGE|Gestion des droits
webapp.ProfileDetail.API_ADMIN_MANAGE_PROFILES|Gestion des profils
webapp.ProfileDetail.API_ADMIN_MANAGE_USERS|Gestion des utilisateurs
webapp.ProfileDetail.API_USERS_ADD_SITES|Ajout
webapp.ProfileDetail.API_ALARMS_UPDATE|Acquittement des alarmes
webapp.ProfileDetail.API_SITES_MANAGE_SLAVES|Gestion des appareils
webapp.ProfileDetail.API_SITES_UPDATE_SLAVES|Activation/Désactivation
webapp.ProfileDetail.API_SITES_CONFIGURE_SLAVES|Configuration des appareils
webapp.ProfileDetail.API_USERS_MANAGE_SITES|Gestion des sites
webapp.ProfileDetail.API_USERS_UPDATE_SITES|Modification du nom
webapp.ProfileDetail.API_SITES_MANAGE_ZONES|Gestion des zones / groupements d'appareils
webapp.ProfileDetail.PROFILE_USED|Vous ne pouvez pas supprimer un profil attaché à un utlisateur
webapp.UserAccessList.login|Utilisateur
webapp.UserAccessList.success|Enregistrement effectué avec succés
webapp.SettingsSideBar.settings|Paramètres
webapp.SettingsSideBar.users|Utilisateurs
webapp.SettingsSideBar.profiles|Profils
webapp.SettingsSideBar.license|Abonnement
webapp.SettingsSideBar.groups|Groupes
webapp.SettingsSideBar.userAccesses|Accès utilisateurs
webapp.SettingsSideBar.account|Mon Compte
webapp.AdminPage.userList|Liste des utilisateurs sur lesquels vous pouvez prendre le contrôle
webapp.AdminPage.site|Nom du site
webapp.AdminPage.master|Numéro de série
webapp.AdminPage.activated|Compte activé
webapp.AdminPage.yes|Oui
webapp.AdminPage.no|Non
webapp.AdminPage.search|Recherche
webapp.SitePage.siteList|Liste de vos sites
webapp.SitePage.welcome|Bienvenue sur Medifroid Cloud
webapp.SitePage.helpAddSite|Ajoutez vos sites en cliquant sur l’icône (+) pour accéder aux données de vos appareils.
webapp.SitePage.addSiteTitle|Ajout d'un site
webapp.SitePage.addSiteSubtitle|Veuillez indiquer les informations du site à ajouter
webapp.SitePage.serial|Identifiant du site
webapp.SitePage.siteName|Nom du site
webapp.SitePage.MASTER_NOT_FOUND|La license est introuvable
webapp.SitePage.CONTROL_EXISTS|Le site est déjà enregistré sur un autre compte
webapp.HomePage.confirmDelete|Etes-vous sûr de vouloir supprimer ce site ?
webapp.HomePage.waitingZoneName|Appareils en attente de configuration
webapp.HomePage.unload|Déchargement forcé
webapp.HomePage.ZONE_DEFAULT|Vous ne pouvez pas modifier la zone par défaut
webapp.HomePage.editZoneTitle|Editer la zone
webapp.HomePage.addZoneTitle|Ajouter une zone
webapp.HomePage.zoneName|Nom de la zone
webapp.HomePage.addZone|Ajouter une zone
webapp.HomePage.editZone|Editer une zone
webapp.HomePage.editSite|Modification du site
webapp.HomePage.siteName|Nom du site
webapp.HomePage.confirmZoneDelete|Etes-vous sûr de vouloir supprimer cette zone ?
webapp.HomePage.confirmChangeSlaveStatus|Attention :  les mesures et les alarmes de cet appareil ne seront plus envoyées sur le cloud si vous le désactivez.
Confirmer la désactivation de l'appareil ?
webapp.NavBar.feedbackTitle|Votre avis nous intéresse
webapp.NavBar.feedbackSubtitle|Veuillez saisir votre avis
webapp.NavBar.profile|Profil
webapp.NavBar.settings|Paramètres
webapp.NavBar.logout|Déconnexion
webapp.SideBar.alarm|Liste des alarmes
webapp.SideBar.slaves|Liste des appareils
webapp.SlaveList.slaves|Liste des appareils
webapp.ChannelList.measures|Dernières mesures relevées
webapp.ChannelList.noMeasures|Aucunes mesures relevées
webapp.ChannelList.values|Valeurs
webapp.ChannelList.statistics|Statistiques
webapp.ChannelList.dataViewMode0|Graphique
webapp.ChannelList.dataViewMode1|Tableau
webapp.ChannelList.dataViewMode2|Résumé
webapp.ChannelList.dataViewMode3|Configuration
webapp.ChannelList.minimum|Minimum
webapp.ChannelList.maximum|Maximum
webapp.ChannelList.average|Moyenne
webapp.ChannelList.deviation|Ecart type
webapp.ChannelList.mkt|MKT
